Category,LLM_Score,Human_Score,Score_Difference
negotiate,102.0,167.0,-65.0
nervousness,89.0,63.0,26.0
night,10.0,14.0,-4.0
noise,36.0,48.0,-12.0
occupation,95.0,101.0,-6.0
ocean,129.0,243.0,-114.0
office,83.0,153.0,-70.0
optimism,296.0,178.0,118.0
order,53.0,99.0,-46.0
pain,79.0,105.0,-26.0
party,141.0,214.0,-73.0
payment,249.0,541.0,-292.0
pet,6.0,26.0,-20.0
philosophy,59.0,71.0,-12.0
phone,156.0,121.0,35.0
plant,197.0,143.0,54.0
play,77.0,68.0,9.0
politeness,42.0,27.0,15.0
politics,194.0,245.0,-51.0
poor,182.0,210.0,-28.0
positive_emotion,171.0,163.0,8.0
power,216.0,168.0,48.0
pride,105.0,37.0,68.0
prison,38.0,61.0,-23.0
programming,66.0,118.0,-52.0
rage,33.0,27.0,6.0
reading,96.0,122.0,-26.0
real_estate,253.0,301.0,-48.0
religion,63.0,71.0,-8.0
restaurant,43.0,45.0,-2.0
ridicule,1.0,13.0,-12.0
royalty,50.0,64.0,-14.0
rural,125.0,121.0,4.0
sadness,164.0,98.0,66.0
sailing,104.0,220.0,-116.0
school,233.0,257.0,-24.0
science,306.0,227.0,79.0
sexual,18.0,25.0,-7.0
shame,64.0,67.0,-3.0
shape_and_size,149.0,202.0,-53.0
ship,125.0,217.0,-92.0
shopping,111.0,159.0,-48.0
sleep,12.0,57.0,-45.0
smell,15.0,25.0,-10.0
social_media,56.0,80.0,-24.0
sound,33.0,33.0,0.0
speaking,250.0,289.0,-39.0
sports,120.0,151.0,-31.0
stealing,63.0,126.0,-63.0
strength,260.0,238.0,22.0
suffering,214.0,117.0,97.0
superhero,4.0,4.0,0.0
surprise,24.0,25.0,-1.0
swearing_terms,2.0,9.0,-7.0
swimming,83.0,179.0,-96.0
sympathy,58.0,53.0,5.0
technology,199.0,190.0,9.0
terrorism,255.0,181.0,74.0
timidity,18.0,28.0,-10.0
tool,40.0,38.0,2.0
torment,29.0,24.0,5.0
tourism,106.0,107.0,-1.0
toy,70.0,62.0,8.0
traveling,248.0,251.0,-3.0
trust,182.0,213.0,-31.0
ugliness,1.0,11.0,-10.0
urban,208.0,161.0,47.0
vacation,130.0,236.0,-106.0
valuable,261.0,565.0,-304.0
vehicle,117.0,149.0,-32.0
violence,245.0,228.0,17.0
war,171.0,133.0,38.0
warmth,1422.0,885.0,537.0
water,167.0,265.0,-98.0
weakness,105.0,64.0,41.0
wealthy,177.0,252.0,-75.0
weapon,49.0,54.0,-5.0
weather,1428.0,850.0,578.0
wedding,165.0,169.0,-4.0
white_collar_job,55.0,125.0,-70.0
work,396.0,358.0,38.0
worship,37.0,36.0,1.0
writing,18.0,62.0,-44.0
youth,14.0,55.0,-41.0
zest,46.0,17.0,29.0
